chat_mode,entropy_mean,model,n,partial_seq_len,pearson,quantization,query_mode,query_start,run,sink_mean,sink_tokens,spearman,task
auto,1.561851727962494,TinyLlama/TinyLlama-1.1B-Chat-v1.0,415,-0.1018089654378943,-0.10254112966193761,none,last,0,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K1__qlast.jsonl.gz,0.3844203006692418,1,-0.10007387409168446,truthfulqa_mc
auto,1.561851727962494,TinyLlama/TinyLlama-1.1B-Chat-v1.0,415,0.03272763563562018,0.03721180556687363,none,range,32,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K1__qrange_start32.jsonl.gz,0.4562976433898724,1,0.027658459926663177,truthfulqa_mc
auto,1.561851727962494,TinyLlama/TinyLlama-1.1B-Chat-v1.0,415,-0.16677075241939093,-0.1678222686268898,none,last,0,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,0.39117938644045647,4,-0.16823682690628738,truthfulqa_mc
auto,1.561851727962494,TinyLlama/TinyLlama-1.1B-Chat-v1.0,415,0.02708746365654212,0.031062229403073932,none,range,32,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qrange_start32.jsonl.gz,0.4640632337640808,4,0.02182055983129844,truthfulqa_mc
auto,1.3106954211032533,microsoft/phi-2,415,0.05038297206624815,0.030251956443830684,none,last,0,truthfulqa_mc__microsoft__phi-2__K1__qlast.jsonl.gz,0.01577812124770247,1,0.0236078091630737,truthfulqa_mc
auto,1.3106954211032533,microsoft/phi-2,415,0.028278428700047493,-0.006497314953119582,none,range,32,truthfulqa_mc__microsoft__phi-2__K1__qrange_start32.jsonl.gz,0.011930999273071893,1,-0.002729144000752173,truthfulqa_mc
auto,1.3106954211032533,microsoft/phi-2,415,-0.24077178202986116,-0.20116877857616677,none,last,0,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,0.2664557426482024,4,-0.20513710359833986,truthfulqa_mc
auto,1.3106954211032533,microsoft/phi-2,415,-0.0057477323904346666,-0.011432370091511008,none,range,32,truthfulqa_mc__microsoft__phi-2__K4__qrange_start32.jsonl.gz,0.27192341247949303,4,-0.012715745926851218,truthfulqa_mc
auto,0.2871290737021075,mistralai/Mistral-7B-Instruct-v0.3,415,-0.14454677537952348,-0.1450804458171125,none,last,0,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K1__qlast.jsonl.gz,0.2733663421155077,1,-0.19375008394783147,truthfulqa_mc
auto,0.2871290737021075,mistralai/Mistral-7B-Instruct-v0.3,415,0.0424582565604958,0.03425999904294517,none,range,32,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K1__qrange_start32.jsonl.gz,0.29769748601736873,1,0.02145303622516823,truthfulqa_mc
auto,0.2871290737021075,mistralai/Mistral-7B-Instruct-v0.3,415,-0.14073443104686165,-0.1388733654313366,none,last,0,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,0.572933395782553,4,-0.19895636055929405,truthfulqa_mc
auto,0.2871290737021075,mistralai/Mistral-7B-Instruct-v0.3,415,0.05165483830825123,0.040222922017680275,none,range,32,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qrange_start32.jsonl.gz,0.6115830560389353,4,0.026669386576405957,truthfulqa_mc
auto,1.0043929489980261,mistralai/Mistral-Nemo-Instruct-2407,415,-0.12241420041996051,-0.07281518957255308,none,last,0,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K1__qlast.jsonl.gz,0.23969891988470343,1,-0.06858134880659762,truthfulqa_mc
auto,1.0043929489980261,mistralai/Mistral-Nemo-Instruct-2407,415,-0.031361839455356595,0.02539900758644441,none,range,32,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K1__qrange_start32.jsonl.gz,0.23874661055484342,1,0.05296486951149078,truthfulqa_mc
auto,1.0043929489980261,mistralai/Mistral-Nemo-Instruct-2407,415,-0.12968896394978172,-0.06514808877594902,none,last,0,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,0.502696278498968,4,-0.0653935138547501,truthfulqa_mc
auto,1.0043929489980261,mistralai/Mistral-Nemo-Instruct-2407,415,-0.021596999605457044,0.040638041981361415,none,range,32,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qrange_start32.jsonl.gz,0.4906051806034255,4,0.07524143396327787,truthfulqa_mc
