abs_delta,chat_mode,delta,head,layer,model,quantization,rank,run,shape,task
0.024466283754771445,auto,0.024466283754771445,0,18,Qwen/Qwen2.5-0.5B-Instruct,none,1,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.02418950009762033,auto,0.02418950009762033,6,21,Qwen/Qwen2.5-0.5B-Instruct,none,2,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.024160572292993898,auto,0.024160572292993898,3,16,Qwen/Qwen2.5-0.5B-Instruct,none,3,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.021525489736777037,auto,0.021525489736777037,6,16,Qwen/Qwen2.5-0.5B-Instruct,none,4,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.021234379100550815,auto,0.021234379100550815,8,21,Qwen/Qwen2.5-0.5B-Instruct,none,5,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.01958570235630601,auto,0.01958570235630601,7,16,Qwen/Qwen2.5-0.5B-Instruct,none,6,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.019169155330246823,auto,0.019169155330246823,12,20,Qwen/Qwen2.5-0.5B-Instruct,none,7,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.016423484568845514,auto,0.016423484568845514,1,18,Qwen/Qwen2.5-0.5B-Instruct,none,8,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.015868931481568982,auto,0.015868931481568982,2,16,Qwen/Qwen2.5-0.5B-Instruct,none,9,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.014458959212854783,auto,0.014458959212854783,10,21,Qwen/Qwen2.5-0.5B-Instruct,none,10,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,"[24, 14]",truthfulqa_mc
0.0010256600180270983,auto,-0.0010256600180270983,2,0,Qwen/Qwen2.5-1.5B-Instruct,none,1,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
0.0006948648157090453,auto,-0.0006948648157090453,0,0,Qwen/Qwen2.5-1.5B-Instruct,none,2,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
0.0004763143962796257,auto,0.0004763143962796257,7,0,Qwen/Qwen2.5-1.5B-Instruct,none,3,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
0.00047566373700940606,auto,-0.00047566373700940606,4,0,Qwen/Qwen2.5-1.5B-Instruct,none,4,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
7.899691040079058e-05,auto,7.899691040079058e-05,9,0,Qwen/Qwen2.5-1.5B-Instruct,none,5,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
7.820066520433395e-05,auto,7.820066520433395e-05,11,0,Qwen/Qwen2.5-1.5B-Instruct,none,6,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
2.4453506660559012e-05,auto,2.4453506660559012e-05,5,0,Qwen/Qwen2.5-1.5B-Instruct,none,7,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
2.2475157929052096e-05,auto,2.2475157929052096e-05,8,0,Qwen/Qwen2.5-1.5B-Instruct,none,8,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
6.047840420813563e-07,auto,6.047840420813563e-07,10,0,Qwen/Qwen2.5-1.5B-Instruct,none,9,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
3.2556207874153307e-07,auto,-3.2556207874153307e-07,6,0,Qwen/Qwen2.5-1.5B-Instruct,none,10,truthfulqa_mc__Qwen__Qwen2.5-1.5B-Instruct__K4__qlast.jsonl.gz,"[28, 12]",truthfulqa_mc
0.10212920971309958,auto,-0.10212920971309958,5,20,Qwen/Qwen2.5-7B-Instruct,none,1,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.049644671202259794,auto,0.049644671202259794,15,20,Qwen/Qwen2.5-7B-Instruct,none,2,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.04963799384828227,auto,0.04963799384828227,9,26,Qwen/Qwen2.5-7B-Instruct,none,3,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.04931693873892812,auto,-0.04931693873892812,0,22,Qwen/Qwen2.5-7B-Instruct,none,4,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.04893986645752821,auto,-0.04893986645752821,3,20,Qwen/Qwen2.5-7B-Instruct,none,5,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.04597069772693757,auto,0.04597069772693757,16,25,Qwen/Qwen2.5-7B-Instruct,none,6,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.04592908681754314,auto,-0.04592908681754314,25,21,Qwen/Qwen2.5-7B-Instruct,none,7,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.045347307146495486,auto,-0.045347307146495486,10,23,Qwen/Qwen2.5-7B-Instruct,none,8,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.04204479136118078,auto,0.04204479136118078,12,26,Qwen/Qwen2.5-7B-Instruct,none,9,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.039293972997299864,auto,-0.039293972997299864,0,20,Qwen/Qwen2.5-7B-Instruct,none,10,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,"[28, 28]",truthfulqa_mc
0.010168319235931478,auto,-0.010168319235931478,6,19,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,1,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.010091471533156648,auto,-0.010091471533156648,18,20,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,2,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.008347904914385307,auto,-0.008347904914385307,18,15,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,3,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.00831875990158809,auto,-0.00831875990158809,30,19,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,4,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.008231158736681288,auto,-0.008231158736681288,6,21,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,5,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.008167221095032706,auto,-0.008167221095032706,17,18,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,6,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.00708301483658802,auto,0.00708301483658802,25,7,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,7,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.0069732724271044655,auto,0.0069732724271044655,21,20,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,8,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.006723871305159862,auto,-0.006723871305159862,20,19,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,9,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.006623510821581247,auto,0.006623510821581247,16,20,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,10,truthfulqa_mc__TinyLlama__TinyLlama-1.1B-Chat-v1.0__K4__qlast.jsonl.gz,"[22, 32]",truthfulqa_mc
0.1500685622887305,auto,-0.1500685622887305,3,31,microsoft/phi-2,none,1,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.14991182902403044,auto,-0.14991182902403044,12,30,microsoft/phi-2,none,2,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.12440582328372529,auto,-0.12440582328372529,21,30,microsoft/phi-2,none,3,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.09925230599286272,auto,-0.09925230599286272,25,30,microsoft/phi-2,none,4,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.09261403847856131,auto,0.09261403847856131,8,30,microsoft/phi-2,none,5,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08864689555084493,auto,-0.08864689555084493,29,30,microsoft/phi-2,none,6,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08761942039456283,auto,-0.08761942039456283,16,31,microsoft/phi-2,none,7,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08385491435987907,auto,-0.08385491435987907,22,30,microsoft/phi-2,none,8,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08101491768457736,auto,-0.08101491768457736,0,29,microsoft/phi-2,none,9,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.07744421763029713,auto,0.07744421763029713,4,30,microsoft/phi-2,none,10,truthfulqa_mc__microsoft__phi-2__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.09167714404335275,auto,-0.09167714404335275,5,19,mistralai/Mistral-7B-Instruct-v0.3,none,1,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08819569234674396,auto,0.08819569234674396,17,29,mistralai/Mistral-7B-Instruct-v0.3,none,2,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08694320627202223,auto,-0.08694320627202223,12,18,mistralai/Mistral-7B-Instruct-v0.3,none,3,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.08017298873805878,auto,0.08017298873805878,18,20,mistralai/Mistral-7B-Instruct-v0.3,none,4,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.07524240357305123,auto,0.07524240357305123,21,18,mistralai/Mistral-7B-Instruct-v0.3,none,5,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.06413257049134097,auto,-0.06413257049134097,6,31,mistralai/Mistral-7B-Instruct-v0.3,none,6,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.05972189722520971,auto,0.05972189722520971,23,17,mistralai/Mistral-7B-Instruct-v0.3,none,7,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.05957988848225271,auto,0.05957988848225271,20,30,mistralai/Mistral-7B-Instruct-v0.3,none,8,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.05836979785503782,auto,-0.05836979785503782,4,31,mistralai/Mistral-7B-Instruct-v0.3,none,9,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.05801045545353656,auto,0.05801045545353656,22,30,mistralai/Mistral-7B-Instruct-v0.3,none,10,truthfulqa_mc__mistralai__Mistral-7B-Instruct-v0.3__K4__qlast.jsonl.gz,"[32, 32]",truthfulqa_mc
0.058540905811250266,auto,0.058540905811250266,11,21,mistralai/Mistral-Nemo-Instruct-2407,none,1,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.05841982104523413,auto,0.05841982104523413,5,18,mistralai/Mistral-Nemo-Instruct-2407,none,2,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.050251331067577065,auto,-0.050251331067577065,11,28,mistralai/Mistral-Nemo-Instruct-2407,none,3,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.04557476837510477,auto,-0.04557476837510477,29,28,mistralai/Mistral-Nemo-Instruct-2407,none,4,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.045291681452387655,auto,0.045291681452387655,28,21,mistralai/Mistral-Nemo-Instruct-2407,none,5,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.04524062917208155,auto,-0.04524062917208155,24,38,mistralai/Mistral-Nemo-Instruct-2407,none,6,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.044933383442290475,auto,-0.044933383442290475,30,28,mistralai/Mistral-Nemo-Instruct-2407,none,7,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.04307807038831002,auto,-0.04307807038831002,25,14,mistralai/Mistral-Nemo-Instruct-2407,none,8,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.04104246480377144,auto,0.04104246480377144,9,21,mistralai/Mistral-Nemo-Instruct-2407,none,9,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
0.04075023980643541,auto,0.04075023980643541,0,20,mistralai/Mistral-Nemo-Instruct-2407,none,10,truthfulqa_mc__mistralai__Mistral-Nemo-Instruct-2407__K4__qlast.jsonl.gz,"[40, 32]",truthfulqa_mc
